paper_id,title,session,page_count,pdf_url,overall_reporting,training_compute,training_terms,training_evidence_clue,inference_compute,inference_terms,inference_evidence_clue,hardware_terms_anywhere,extraction_note
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Session Manipulation 1,24,https://www.roboticsproceedings.org/rss22/p001.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"Collection UI Interface Development blocks, and provides boundaries well suited for constructing To streamline data collection, we develop a real-time UI invariant and variant ...",desktop,Automatic full-text regex extraction; verify PDF for final claims.
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Session Manipulation 1,11,https://www.roboticsproceedings.org/rss22/p002.pdf,Training + inference reported,Explicit HW only,RTXA5000; A100,"R ESULTS AND D ISCUSSION on a single RTXA5000 Nvidia GPU, with the exception of π0.5 which required one A100 Nvidia GPU for training.",Explicit latency/rate,27 Hz; 10 Hz; 3.3 Hz,"ACT + MoE policy We further evaluate the ability of MoE-ACT to generalize operates at 27 Hz, incurring negligible inference overhead to diverse camera ...",RTXA5000; A100; Nvidia; GPU,Automatic full-text regex extraction; verify PDF for final claims.
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Session Manipulation 1,12,https://www.roboticsproceedings.org/rss22/p003.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Session Manipulation 1,10,https://www.roboticsproceedings.org/rss22/p004.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Session Manipulation 1,11,https://www.roboticsproceedings.org/rss22/p005.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,NVIDIA A100; 80GB,These inference timings are measured on an NVIDIA A100 80GB results motivate the final design of the contact-consistency GPU.,NVIDIA A100; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Session Manipulation 1,16,https://www.roboticsproceedings.org/rss22/p006.pdf,Training + inference reported,Explicit time only,60 minutes,All three tasks require force reasoning and via kinesthetic using a single training object (≈ 60 minutes).,Explicit latency/rate,30 Hz,"During state evolving over normalized time t ∈ [0, 1], while the con- execution, the policy runs at 10-30 Hz (Appendix E).",Not found,Automatic full-text regex extraction; verify PDF for final claims.
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Session Manipulation 1,14,https://www.roboticsproceedings.org/rss22/p007.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,server,Automatic full-text regex extraction; verify PDF for final claims.
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Session Manipulation 1,12,https://www.roboticsproceedings.org/rss22/p008.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,embedded,Automatic full-text regex extraction; verify PDF for final claims.
9,UMI-Underwater: Learning Underwater Manipulation without Underwater Teleoperation,Session Manipulation 1,10,https://www.roboticsproceedings.org/rss22/p009.pdf,Training + inference reported,Explicit HW only,NVIDIA RTX 5090,"Training is performed on a single train policies (rocks, seagrass, toy ducks), and a novel on-land NVIDIA RTX 5090 GPU and AMD Ryzen 9800X3D ...",Explicit HW + latency/rate,onboard; 100 Hz; 10 Hz; 1 Hz; 100 ms,We compute a target pixel tethered control box at 100 Hz.,NVIDIA RTX 5090; onboard; NVIDIA; GPU; CPU,Automatic full-text regex extraction; verify PDF for final claims.
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,Session World Models & Memory,10,https://www.roboticsproceedings.org/rss22/p010.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,Session World Models & Memory,11,https://www.roboticsproceedings.org/rss22/p011.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"We define success as > 75% early with the number of stored snippets, supporting scalable paint removed for the arm based on the result ...",embedded,Automatic full-text regex extraction; verify PDF for final claims.
12,Self-Improving Robot Policy with Compositional World Model,Session World Models & Memory,12,https://www.roboticsproceedings.org/rss22/p012.pdf,Training-side only/mostly,Explicit HW only,H100; NVIDIA H100,"Detailed robot H100 GPUs with a global batch size of 64, which takes setup and evaluation metrics are included in the Appendix.",Not reported,Not reported,,NVIDIA H100; H100; NVIDIA; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
13,HAIC: Humanoid Agile Object Interaction Control via Dynamics-Aware World Model,Session World Models & Memory,13,https://www.roboticsproceedings.org/rss22/p013.pdf,Training + inference reported,Explicit HW only,NVIDIA RTX 4090,The two-stage training rotations and translations to align each object’s geometric prior of a model was conducted on a single NVIDIA RTX 4090 independently.,Explicit latency/rate,200 Hz; 50 Hz; 500 Hz,The PD controller operated at 200 Hz in simulation navigates uneven ground.,NVIDIA RTX 4090; onboard; Onboard; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
14,Collaborating Visual and Parameter Spaces for Consistent Long-Horizon Embodied World Model,Session World Models & Memory,10,https://www.roboticsproceedings.org/rss22/p014.pdf,Training + inference reported,Explicit HW only,GPUs; GPU; 80GB,"reduced spatial priors along the channel dimension: Models are trained on 8×80GB GPUs, while CLIP, VAE, and T5 encoders remain frozen.",Explicit latency/rate,30 FPS,"Quantitative Analysis and the disjoint test set (94 unseen clips, 3–45s at 30 FPS) As shown in Table I, quantitative evaluations for long- are ...",GPU; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
15,Act2Goal: From World Model To General Goal-conditioned Policy,Session World Models & Memory,11,https://www.roboticsproceedings.org/rss22/p015.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
16,Causal World Modeling for Robot Control,Session World Models & Memory,23,https://www.roboticsproceedings.org/rss22/p016.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,32 Hz; 50 Hz; 12.5 Hz,"With our temporal Denoise 15 steps (noisy-latent aug.) 92.91 sparsification (τ =4), this corresponds to an effective control rate of ≈ 32 Hz on ...",GPU,Automatic full-text regex extraction; verify PDF for final claims.
17,Simulation Distillation: Pretraining World Models in Simulation for Rapid Real-World Adaptation,Session World Models & Memory,12,https://www.roboticsproceedings.org/rss22/p017.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,50 Hz; 5 Hz,Autoregressive world at 50 Hz on a laptop with an RTX 4090M.,laptop; GPU,Automatic full-text regex extraction; verify PDF for final claims.
18,Interactive World Simulator for Robot Policy Training and Evaluation,Session World Models & Memory,12,https://www.roboticsproceedings.org/rss22/p018.pdf,Training + inference reported,Explicit HW + time,GPU; 6 hours; 12 hours,"For stage 1 training, it usually takes around 6 hours on one H200 GPU, and around 12 hours for stage 2 training on one ...",Explicit HW + latency/rate,RTX 4090; 15 FPS,"10 minutes at 15 FPS on a single consumer RTX 4090 GPU, 3D-based evaluation methods, such as Physically Embodied making it highly accessible.",RTX 4090; GPU,Automatic full-text regex extraction; verify PDF for final claims.
19,HUSKY: Humanoid Skateboarding System via Physics-Aware Whole-Body Control,Session Humanoids,11,https://www.roboticsproceedings.org/rss22/p019.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,500 Hz; 50 Hz,We joint positions tracked by a 500 Hz PD controller.,embedded; gpu,Automatic full-text regex extraction; verify PDF for final claims.
20,Perceptive Humanoid Parkour: Chaining Dynamic Human Skills via Motion Matching,Session Humanoids,13,https://www.roboticsproceedings.org/rss22/p020.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 30 Hz; 60 ms; 80 ms,The onboard depth camera our hypothesis that dense data coverage is necessary for operates at 30 Hz.,onboard; Nvidia; gpu; nvidia; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
21,$ si_0$: An Open Foundation Model Towards Universal Humanoid Loco-Manipulation,Session Humanoids,11,https://www.roboticsproceedings.org/rss22/p021.pdf,Training + inference reported,Explicit HW + time,A100; NVIDIA A100; 10 days,"All baseline models are fine-tuned on the Instruct [2] during the pre-training stage using 64 A100 GPUs same dataset, using identical image observations as ...",Explicit HW + latency/rate,A100; 160 ms; 200 ms,pass taking approximately 160 ms.,A100; NVIDIA A100; GPUs; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
22,X-Loco: Towards Generalist Humanoid Locomotion Control via Synergetic Policy Distillation,Session Humanoids,12,https://www.roboticsproceedings.org/rss22/p022.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,Our primary contributions and a low-level tracker struggle to respond agilely to complex are summarized as follows: real-world scenarios or unexpected events in real ...,NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
23,Learning to Evolve: Multi-modal Interactive Fields for Robust Humanoid Navigation in Dynamic Environments,Session Humanoids,12,https://www.roboticsproceedings.org/rss22/p023.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,NVIDIA RTX 4090; RTX 4090; 22 FPS,"ACKNOWLEDGMENTS In practice, Fapp supports real-time incremental updates at This work is jointly supported by the National Natural 22 FPS, while the asynchronous generation ...",NVIDIA RTX 4090; RTX 4090; workstation; NVIDIA; onboard,Automatic full-text regex extraction; verify PDF for final claims.
24,"MOBIUS: A Multi-Modal Bipedal Robot that can Walk, Crawl, Climb, and Roll",Session Humanoids,11,https://www.roboticsproceedings.org/rss22/p024.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,30 Hz; 300 Hz; 100 Hz; 60 Hz,H of 30 Hz Appendix 300 Hz Sec.,onboard,Automatic full-text regex extraction; verify PDF for final claims.
25,TeleGate: Whole-Body Humanoid Teleoperation via Gated Expert Selection with Motion Prior,Session Humanoids,12,https://www.roboticsproceedings.org/rss22/p025.pdf,Training + inference reported,Explicit time only,2.5 hours,"Using only 2.5 hours of motion capture data for training, our TeleGate achieves high-precision real-time teleoperation across diverse dynamic Although Reinforcement Learning (RL) based ...",Explicit latency/rate,50Hz; 500Hz; 37.5Hz,"For fairness, all methods are trained and 50Hz, and the low-level PD controller runs at 500Hz.",Not found,Automatic full-text regex extraction; verify PDF for final claims.
26,Generalizing from References using a Multi-Task Reference and Goal-Driven RL Framework,Session Humanoids,11,https://www.roboticsproceedings.org/rss22/p026.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,onboard,"These dense, human demonstration- our hardware experiments rely on motion capture (MoCap) for based rewards provide stronger, more informative learn- global state (pose) feedback, ...",onboard; GPU,Automatic full-text regex extraction; verify PDF for final claims.
27,Now You See That: Learning End-to-End Humanoid Locomotion from Raw Pixels,Session Humanoids,16,https://www.roboticsproceedings.org/rss22/p027.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 50 Hz,"The policy runs entirely by step edges, which motivates future work on higher reso- onboard at 50 Hz without any fine-tuning from simulation lution ...",onboard,Automatic full-text regex extraction; verify PDF for final claims.
28,Mind Your Steps: A General Learning Framework for Accurate Humanoid Foothold Tracking,Session Humanoids,12,https://www.roboticsproceedings.org/rss22/p028.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,onboard,"We use the onboard presence of tracking error, this experiment successfully verifies RealSense D455 camera of the Booster T1 robot to extract that ωFT ...",embedded; onboard,Automatic full-text regex extraction; verify PDF for final claims.
29,PRIME: Physically-consistent Robotic Inertial and Motion Estimation for Legged and Humanoid Robots,Session Humanoids,9,https://www.roboticsproceedings.org/rss22/p029.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 1000 Hz,"The reconstructed collected using a Bertec-4060 six-axis force plate (1000 Hz, state trajectory also remains consistent with the real experi- ±0.4 N resolution).",onboard; CPU,Automatic full-text regex extraction; verify PDF for final claims.
30,HiWET: Hierarchical World-Frame End-Effector Tracking for Long-Horizon Humanoid Loco-Manipulation,Session Humanoids,10,https://www.roboticsproceedings.org/rss22/p030.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 50 Hz; 10 Hz,By decoupling global task reasoning from at 50 Hz.,onboard; gpu,Automatic full-text regex extraction; verify PDF for final claims.
31,OmniXtreme: Breaking the Generality Barrier in High-Dynamic Humanoid Control,Session Humanoids,11,https://www.roboticsproceedings.org/rss22/p031.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 50Hz; 10ms,"In prac- motion tracking at a consistent 50Hz frequency in complex tice, this term is selectively applied to the knee joints in physical environments.",Onboard; onboard,Automatic full-text regex extraction; verify PDF for final claims.
32,Distributed Pose Graph Optimization via Continuous Riemannian Dynamics,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p032.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,101.9 ms,CORD requires 101.9 ms (vs.,workstation; CPU,Automatic full-text regex extraction; verify PDF for final claims.
33,Adapting Execution-Time Objectives for Multi-Robot Policies via Collaborative Flow Policy Guidance,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p033.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,NVIDIA Jetson Orin; Jetson Orin; NVIDIA L4; 10Hz,"10Hz) on embedded hardware (NVIDIA Jetson Orin Nano, CFPG effectively guides the robots to complete the task CPU) with T = 10 steps, demonstrating ...",NVIDIA Jetson Orin; Jetson Orin; NVIDIA L4; embedded; NVIDIA; CPU; GPU,Automatic full-text regex extraction; verify PDF for final claims.
34,Rhythm: Learning Interactive Whole-Body Control for Dual Humanoids,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p034.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
35,Teaming Linear Temporal Logic: Coordinated Behavior Specification in Heterogeneous Multi-Agent Systems,Session Multi-robot Systems,10,https://www.roboticsproceedings.org/rss22/p035.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,embedded,Automatic full-text regex extraction; verify PDF for final claims.
